order_id,user_id,order_date,product_id,product_name,category,quantity,unit_price,channel,region,payment_status,order_amount,month,order_day,is_repeat_order,user_order_no
O000001,U00116,2025-10-13,P008,通勤帆布包,服饰鞋包,1,143.97,直播间,西南,已支付,143.97,2025-10,2025-10-13,True,3
O000002,U00947,2025-04-26,P002,机械键盘,数码配件,1,307.35,自然搜索,华东,已支付,307.35,2025-04,2025-04-26,True,3
O000003,U00274,2025-09-05,P009,跑步运动鞋,服饰鞋包,1,351.61,自然搜索,东北,已支付,351.61,2025-09,2025-09-05,True,4
O000004,U00502,2025-08-17,P004,补水面膜套装,美妆个护,1,80.87,自然搜索,华东,已支付,80.87,2025-08,2025-08-17,False,1
O000005,U00502,2025-10-12,P004,补水面膜套装,美妆个护,1,82.62,直播间,华东,已支付,82.62,2025-10,2025-10-12,True,2
O000006,U00248,2025-06-28,P002,机械键盘,数码配件,1,261.92,自然搜索,华东,已支付,261.92,2025-06,2025-06-28,True,2
O000007,U00249,2025-03-04,P005,氨基酸洗面奶,美妆个护,1,46.49,信息流广告,东北,已支付,46.49,2025-03,2025-03-04,False,1
O000009,U01007,2025-11-21,P005,氨基酸洗面奶,美妆个护,1,66.02,直播间,华东,已支付,66.02,2025-11,2025-11-21,True,2
O000010,U01099,2025-11-13,P013,人体工学椅,家居生活,3,803.46,直播间,华南,已支付,2410.38,2025-11,2025-11-13,False,1
O000011,U00319,2025-01-08,P003,智能手表,数码配件,1,565.25,会员短信,华中,已支付,565.25,2025-01,2025-01-08,False,1
O000012,U00562,2025-10-02,P009,跑步运动鞋,服饰鞋包,1,312.66,自然搜索,华中,已支付,312.66,2025-10,2025-10-02,True,2
O000013,U01134,2025-12-18,P001,无线蓝牙耳机,数码配件,1,156.8,信息流广告,华东,已支付,156.8,2025-12,2025-12-18,True,5
O000014,U00444,2025-04-10,P012,坚果礼盒,食品饮料,1,141.3,自然搜索,华东,已支付,141.3,2025-04,2025-04-10,False,1
O000015,U00341,2025-12-13,P011,精品挂耳咖啡,食品饮料,1,76.59,会员短信,华东,已支付,76.59,2025-12,2025-12-13,True,2
O000016,U01318,2025-10-09,P008,通勤帆布包,服饰鞋包,1,120.59,会员短信,西南,已支付,120.59,2025-10,2025-10-09,False,1
O000017,U00802,2025-12-14,P011,精品挂耳咖啡,食品饮料,1,77.57,会员短信,华中,已支付,77.57,2025-12,2025-12-14,True,5
O000018,U00396,2025-11-08,P007,轻薄羽绒服,服饰鞋包,1,268.79,信息流广告,华南,已支付,268.79,2025-11,2025-11-08,True,3
O000019,U00514,2025-08-20,P006,精华液礼盒,美妆个护,1,269.92,自然搜索,华北,已支付,269.92,2025-08,2025-08-20,True,5
O000020,U00837,2025-07-26,P010,即食燕麦组合,食品饮料,2,58.38,会员短信,华东,已支付,116.76,2025-07,2025-07-26,True,2
O000022,U01001,2025-01-24,P009,跑步运动鞋,服饰鞋包,1,282.87,直播间,西南,已支付,282.87,2025-01,2025-01-24,False,1
O000023,U00637,2025-01-01,P005,氨基酸洗面奶,美妆个护,1,74.7,自然搜索,华东,已支付,74.7,2025-01,2025-01-01,False,1
O000025,U00777,2025-11-04,P008,通勤帆布包,服饰鞋包,1,147.84,信息流广告,华北,已支付,147.84,2025-11,2025-11-04,True,3
O000026,U00191,2025-12-09,P001,无线蓝牙耳机,数码配件,3,128.85,信息流广告,华南,已支付,386.55,2025-12,2025-12-09,False,1
O000027,U00966,2025-01-30,P001,无线蓝牙耳机,数码配件,2,155.91,自然搜索,华中,已支付,311.82,2025-01,2025-01-30,False,1
O000028,U01350,2025-06-24,P002,机械键盘,数码配件,1,265.6,自然搜索,华北,已支付,265.6,2025-06,2025-06-24,True,3
O000029,U00960,2025-03-06,P013,人体工学椅,家居生活,2,753.63,直播间,西北,已支付,1507.26,2025-03,2025-03-06,False,1
O000030,U00843,2025-12-17,P007,轻薄羽绒服,服饰鞋包,1,272.11,信息流广告,华中,已支付,272.11,2025-12,2025-12-17,True,4
O000031,U00662,2025-09-22,P015,收纳箱套装,家居生活,1,97.39,社群团购,华东,已支付,97.39,2025-09,2025-09-22,False,1
O000032,U01365,2025-03-10,P004,补水面膜套装,美妆个护,2,86.06,自然搜索,华东,已支付,172.12,2025-03,2025-03-10,False,1
O000033,U00966,2025-09-04,P005,氨基酸洗面奶,美妆个护,1,60.85,直播间,华东,已支付,60.85,2025-09,2025-09-04,True,4
O000035,U00701,2025-07-13,P004,补水面膜套装,美妆个护,1,93.52,自然搜索,华北,已支付,93.52,2025-07,2025-07-13,True,2
O000036,U00931,2025-07-12,P008,通勤帆布包,服饰鞋包,2,139.51,信息流广告,西南,已支付,279.02,2025-07,2025-07-12,True,2
O000037,U00061,2025-11-11,P002,机械键盘,数码配件,2,175.79,直播间,华东,已支付,351.58,2025-11,2025-11-11,False,1
O000038,U00434,2025-09-05,P006,精华液礼盒,美妆个护,1,288.86,自然搜索,华东,已支付,288.86,2025-09,2025-09-05,True,3
O000039,U01363,2025-06-20,P012,坚果礼盒,食品饮料,1,100.81,直播间,华中,已支付,100.81,2025-06,2025-06-20,False,1
O000040,U00831,2025-11-14,P010,即食燕麦组合,食品饮料,1,49.94,社群团购,华南,已支付,49.94,2025-11,2025-11-14,True,2
O000041,U00113,2025-12-26,P008,通勤帆布包,服饰鞋包,3,103.28,社群团购,华东,已支付,309.84,2025-12,2025-12-26,True,3
O000042,U00079,2025-03-22,P013,人体工学椅,家居生活,2,889.29,社群团购,华中,已支付,1778.58,2025-03,2025-03-22,False,1
O000043,U00272,2025-11-14,P013,人体工学椅,家居生活,1,743.1,信息流广告,华东,已支付,743.1,2025-11,2025-11-14,True,2
O000044,U00920,2025-09-15,P002,机械键盘,数码配件,2,246.75,自然搜索,西北,已支付,493.5,2025-09,2025-09-15,True,4
O000045,U00297,2025-05-16,P007,轻薄羽绒服,服饰鞋包,1,384.86,会员短信,华南,已支付,384.86,2025-05,2025-05-16,False,1
O000046,U00440,2025-07-04,P007,轻薄羽绒服,服饰鞋包,2,370.4,直播间,华北,已支付,740.8,2025-07,2025-07-04,True,4
O000047,U01046,2025-03-11,P014,香薰加湿器,家居生活,2,181.49,自然搜索,华东,已支付,362.98,2025-03,2025-03-11,False,1
O000049,U00996,2025-08-13,P009,跑步运动鞋,服饰鞋包,1,352.16,自然搜索,华中,已支付,352.16,2025-08,2025-08-13,True,3
O000050,U00790,2025-02-05,P001,无线蓝牙耳机,数码配件,1,186.18,自然搜索,华东,已支付,186.18,2025-02,2025-02-05,False,1
O000052,U00499,2025-06-07,P009,跑步运动鞋,服饰鞋包,1,295.65,信息流广告,华南,已支付,295.65,2025-06,2025-06-07,False,1
O000054,U01042,2025-08-20,P015,收纳箱套装,家居生活,1,87.8,自然搜索,华北,已支付,87.8,2025-08,2025-08-20,False,1
O000056,U01064,2025-02-27,P014,香薰加湿器,家居生活,1,173.08,自然搜索,华中,已支付,173.08,2025-02,2025-02-27,False,1
O000057,U00895,2025-09-28,P009,跑步运动鞋,服饰鞋包,2,320.98,自然搜索,西北,已支付,641.96,2025-09,2025-09-28,True,3
O000058,U00149,2025-12-11,P008,通勤帆布包,服饰鞋包,3,137.82,直播间,华南,已支付,413.46,2025-12,2025-12-11,True,2
O000059,U00483,2025-11-13,P010,即食燕麦组合,食品饮料,1,56.15,信息流广告,华东,已支付,56.15,2025-11,2025-11-13,True,2
O000060,U00601,2025-08-01,P003,智能手表,数码配件,1,498.2,自然搜索,东北,已支付,498.2,2025-08,2025-08-01,False,1
O000061,U00149,2025-04-04,P002,机械键盘,数码配件,2,292.43,社群团购,华南,已支付,584.86,2025-04,2025-04-04,False,1
O000062,U00953,2025-12-23,P001,无线蓝牙耳机,数码配件,1,167.05,会员短信,华北,已支付,167.05,2025-12,2025-12-23,True,3
O000063,U00021,2025-05-17,P007,轻薄羽绒服,服饰鞋包,1,402.17,自然搜索,华北,已支付,402.17,2025-05,2025-05-17,True,3
O000064,U01165,2025-11-19,P007,轻薄羽绒服,服饰鞋包,1,248.32,自然搜索,华南,已支付,248.32,2025-11,2025-11-19,True,2
O000065,U00473,2025-01-31,P005,氨基酸洗面奶,美妆个护,1,73.5,直播间,华东,已支付,73.5,2025-01,2025-01-31,False,1
O000066,U01343,2025-10-22,P014,香薰加湿器,家居生活,4,212.79,自然搜索,华东,已支付,851.16,2025-10,2025-10-22,True,3
O000067,U00918,2025-12-27,P012,坚果礼盒,食品饮料,3,113.71,直播间,西南,已支付,341.13,2025-12,2025-12-27,False,1
O000068,U00130,2025-01-28,P011,精品挂耳咖啡,食品饮料,4,60.07,信息流广告,华东,已支付,240.28,2025-01,2025-01-28,False,1
O000069,U00113,2025-06-08,P003,智能手表,数码配件,1,526.87,自然搜索,华北,已支付,526.87,2025-06,2025-06-08,False,1
O000070,U00033,2025-08-10,P013,人体工学椅,家居生活,1,932.27,会员短信,华东,已支付,932.27,2025-08,2025-08-10,False,1
O000071,U00731,2025-11-05,P001,无线蓝牙耳机,数码配件,1,134.34,直播间,华东,已支付,134.34,2025-11,2025-11-05,True,4
O000072,U00416,2025-05-16,P003,智能手表,数码配件,1,559.99,自然搜索,华北,已支付,559.99,2025-05,2025-05-16,True,2
O000073,U01334,2025-12-11,P008,通勤帆布包,服饰鞋包,1,112.49,直播间,华东,已支付,112.49,2025-12,2025-12-11,True,5
O000074,U01258,2025-05-07,P010,即食燕麦组合,食品饮料,1,59.96,会员短信,东北,已支付,59.96,2025-05,2025-05-07,False,1
O000075,U00814,2025-11-30,P014,香薰加湿器,家居生活,1,145.75,信息流广告,华南,已支付,145.75,2025-11,2025-11-30,True,2
O000076,U00598,2025-04-24,P007,轻薄羽绒服,服饰鞋包,3,422.42,信息流广告,华东,已支付,1267.26,2025-04,2025-04-24,False,1
O000077,U00623,2025-12-14,P012,坚果礼盒,食品饮料,1,115.4,直播间,华中,已支付,115.4,2025-12,2025-12-14,True,4
O000079,U00464,2025-05-26,P001,无线蓝牙耳机,数码配件,3,187.77,直播间,华南,已支付,563.31,2025-05,2025-05-26,True,2
O000080,U00925,2025-02-25,P004,补水面膜套装,美妆个护,3,72.33,直播间,华北,已支付,216.99,2025-02,2025-02-25,False,1
O000081,U00219,2025-07-25,P003,智能手表,数码配件,1,488.19,社群团购,华中,已支付,488.19,2025-07,2025-07-25,False,1
O000082,U01358,2025-05-18,P008,通勤帆布包,服饰鞋包,1,131.42,直播间,东北,已支付,131.42,2025-05,2025-05-18,False,1
O000083,U01310,2025-01-18,P011,精品挂耳咖啡,食品饮料,1,80.76,信息流广告,华中,已支付,80.76,2025-01,2025-01-18,False,1
O000084,U00092,2025-03-09,P004,补水面膜套装,美妆个护,2,99.7,信息流广告,华北,已支付,199.4,2025-03,2025-03-09,False,1
O000085,U00880,2025-07-18,P009,跑步运动鞋,服饰鞋包,1,338.67,信息流广告,华东,已支付,338.67,2025-07,2025-07-18,False,1
O000086,U00643,2025-07-20,P012,坚果礼盒,食品饮料,1,141.83,会员短信,华南,已支付,141.83,2025-07,2025-07-20,False,1
O000087,U00698,2025-06-01,P011,精品挂耳咖啡,食品饮料,1,60.61,社群团购,华东,已支付,60.61,2025-06,2025-06-01,False,1
O000088,U00923,2025-11-21,P002,机械键盘,数码配件,1,228.33,自然搜索,华北,已支付,228.33,2025-11,2025-11-21,True,2
O000089,U00209,2025-06-17,P013,人体工学椅,家居生活,1,796.17,自然搜索,西南,已支付,796.17,2025-06,2025-06-17,True,2
O000090,U00816,2025-11-09,P008,通勤帆布包,服饰鞋包,2,144.39,社群团购,华东,已支付,288.78,2025-11,2025-11-09,True,6
O000091,U00059,2025-10-12,P003,智能手表,数码配件,1,517.02,信息流广告,华南,已支付,517.02,2025-10,2025-10-12,True,2
O000092,U00183,2025-10-29,P005,氨基酸洗面奶,美妆个护,3,75.38,社群团购,西北,已支付,226.14,2025-10,2025-10-29,True,3
O000093,U00529,2025-11-08,P007,轻薄羽绒服,服饰鞋包,2,299.77,会员短信,华东,已支付,599.54,2025-11,2025-11-08,True,3
O000096,U01392,2025-11-23,P010,即食燕麦组合,食品饮料,1,47.49,信息流广告,华南,已支付,47.49,2025-11,2025-11-23,True,4
O000097,U00155,2025-01-30,P001,无线蓝牙耳机,数码配件,4,181.13,信息流广告,华东,已支付,724.52,2025-01,2025-01-30,False,1
O000098,U00084,2025-05-04,P001,无线蓝牙耳机,数码配件,1,169.93,自然搜索,华中,已支付,169.93,2025-05,2025-05-04,True,2
O000099,U01160,2025-04-25,P011,精品挂耳咖啡,食品饮料,1,70.43,信息流广告,华南,已支付,70.43,2025-04,2025-04-25,False,1
O000100,U01229,2025-08-10,P009,跑步运动鞋,服饰鞋包,2,339.67,自然搜索,华东,已支付,679.34,2025-08,2025-08-10,False,1
O000101,U00529,2025-08-14,P001,无线蓝牙耳机,数码配件,1,148.85,信息流广告,华中,已支付,148.85,2025-08,2025-08-14,True,2
O000102,U01151,2025-10-28,P002,机械键盘,数码配件,1,265.59,自然搜索,华中,已支付,265.59,2025-10,2025-10-28,True,2
O000103,U00895,2025-08-24,P009,跑步运动鞋,服饰鞋包,3,339.28,自然搜索,华南,已支付,1017.84,2025-08,2025-08-24,True,2
O000104,U00908,2025-10-08,P015,收纳箱套装,家居生活,2,93.18,信息流广告,西南,已支付,186.36,2025-10,2025-10-08,False,1
O000105,U00686,2025-02-13,P015,收纳箱套装,家居生活,1,89.04,会员短信,华南,已支付,89.04,2025-02,2025-02-13,True,2
O000106,U01356,2025-07-27,P012,坚果礼盒,食品饮料,1,128.34,直播间,华南,已支付,128.34,2025-07,2025-07-27,True,2
